HIP,赤経時,赤経分,赤経秒,赤緯度,赤緯分,赤緯秒,視等級,年周視差,赤経方向固有運動,赤緯方向固有運動,B-V色指数,V-I色指数,スペクトル分類
110997,22,29,16.15,-43,29,44,3.97,11.03,25.62,-4.23,1.022,0.98,G6/G8III
111022,22,29,31.82,47,42,24.8,4.34,2.8,-0.6,-3.37,1.679,1.9,M0II
111104,22,30,29.26,43,7,24.2,4.52,2.38,-2.05,-5.76,-0.086,-0.09,B2IV
111123,22,30,38.82,-10,40,40.4,4.82,12.29,1.79,-26.26,-0.053,-0.04,A0IVs
111169,22,31,17.38,50,16,56.8,3.76,31.86,137.22,17.15,0.031,0.05,A1V
111188,22,31,30.29,-32,20,45.7,4.29,21.99,59.64,-18.7,0.011,0.03,A1V
111497,22,35,21.33,0,7,2.5,4.04,17.77,88.56,-56.1,-0.083,-0.07,B9IV-Vn
111954,22,40,39.33,-27,2,37,4.18,4.38,22.01,-0.88,-0.105,-0.07,B8V
112029,22,41,27.67,10,49,53,3.41,15.64,77.38,-10.98,-0.086,-0.06,B8.5V
112122,22,42,39.93,-46,53,4.4,2.07,19.17,135.68,-4.51,1.61,2.6,M5III
112158,22,43,0.13,30,13,16.7,2.93,15.18,13.11,-26.11,0.852,0.87,G2II-III..
112405,22,46,3.72,-81,22,53.8,4.13,23.23,-55.35,0.88,0.208,0.24,A9IV/V
112440,22,46,31.84,23,33,56.4,3.97,8.26,56.99,-10.46,1.07,0.99,G8II-III
112447,22,46,41.44,12,10,26.7,4.2,61.54,233.06,-492.04,0.502,0.6,F7V
112623,22,48,33.2,-51,19,0.1,3.49,25.16,108.47,-65.93,0.083,0.1,A3V
112716,22,49,35.51,-13,35,33.1,4.05,8.58,-12.58,-38.8,1.57,1.72,K5III
112724,22,49,40.91,66,12,2.6,3.5,28.27,-66.1,-124.74,1.053,1.06,K0III
112748,22,50,0.1,24,36,6.1,3.51,27.95,144.11,-43.44,0.933,0.89,M2III
112961,22,52,36.86,-7,34,46.8,3.73,8.33,19.51,32.71,1.626,2.07,M2IIIvar
113136,22,54,39.04,-15,49,14.7,3.27,20.44,-44.08,-24.81,0.066,0.08,A3V
113246,22,55,56.89,-32,32,22.9,4.2,19.14,10.84,30.32,0.952,0.96,G8III
113368,22,57,38.83,-29,37,18.6,1.17,130.08,329.22,-164.22,0.145,0.16,A3V
113638,23,0,52.87,-52,45,14.8,4.11,28.99,-65.09,-12.91,0.96,1.01,G8III
113881,23,3,46.33,28,4,56.8,2.44,16.37,187.76,137.61,1.655,2.31,M2II-IIIvar
113963,23,4,45.62,15,12,19.3,2.49,23.36,61.1,-42.56,-0.002,0,B9.5III
114131,23,6,52.77,-43,31,13.2,4.28,24.51,-48.35,-13.98,0.423,0.44,F5me...
114341,23,9,26.76,-21,10,20.9,3.68,13.96,55.99,31.25,1.202,1.16,K1III
114421,23,10,21.43,-45,14,47.9,3.88,17.63,132.42,-26.27,0.998,0.95,K0III SB
114855,23,15,53.28,-9,5,15.7,4.24,21.97,368.56,-17.02,1.107,1.06,K0III
114971,23,17,9.49,3,16,56.1,3.7,24.92,760.35,17.96,0.916,0.97,G7III
114996,23,17,25.81,-58,14,9.3,3.99,45.4,-34.93,79.59,0.41,0.5,F1III
115102,23,18,49.43,-32,31,54.6,4.41,18.24,19.65,-78.57,1.109,1.08,K1III
115438,23,22,58.3,-20,6,1.2,3.96,20.14,-120.27,-96.7,1.082,1.1,K0III
115738,23,26,55.91,1,15,21,4.95,20.12,85.6,-94.43,0.036,0.01,A0p
115830,23,27,58.17,6,22,44.8,4.27,20.54,-123.83,-43.26,1.062,1.03,K1III
116231,23,32,58.19,-37,49,6.1,4.38,18.28,96.39,37.58,-0.095,-0.09,B9.5IVMNpe.
116727,23,39,20.98,77,37,55.1,3.21,72.5,-48.85,127.18,1.031,0.99,K1IV
116771,23,39,56.82,5,37,38.5,4.13,72.51,376.32,-437,0.507,0.59,F7V
116928,23,42,2.88,1,46,49.5,4.49,32.38,-129.55,-154.87,0.2,0.22,A7V
118268,23,59,18.6,6,51,48.9,4.03,30.78,148.49,-112.16,0.419,0.49,F4IV
